run_accession	study_accession	sample_accession	experiment_accession	scientific_name	library_name	library_strategy	read_count	first_public	last_updated	sample_alias
ERR329525	PRJEB1934	SAMEA2172841	ERX302504	mouse skin metagenome	unspecified	AMPLICON	2902	2013-09-06	2018-11-16	334
ERR329526	PRJEB1934	SAMEA2172842	ERX302505	mouse skin metagenome	unspecified	AMPLICON	2746	2013-09-06	2018-11-16	335
ERR329527	PRJEB1934	SAMEA2172843	ERX302506	mouse skin metagenome	unspecified	AMPLICON	4045	2013-09-06	2018-11-16	336
ERR329528	PRJEB1934	SAMEA2172844	ERX302507	mouse skin metagenome	unspecified	AMPLICON	6125	2013-09-06	2018-11-16	338
ERR329529	PRJEB1934	SAMEA2172845	ERX302508	mouse skin metagenome	unspecified	AMPLICON	5198	2013-09-06	2018-11-16	339
ERR329530	PRJEB1934	SAMEA2172846	ERX302509	mouse skin metagenome	unspecified	AMPLICON	4967	2013-09-06	2018-11-16	340
ERR329531	PRJEB1934	SAMEA2172847	ERX302510	mouse skin metagenome	unspecified	AMPLICON	6355	2013-09-06	2018-11-16	342
ERR329532	PRJEB1934	SAMEA2172848	ERX302511	mouse skin metagenome	unspecified	AMPLICON	3330	2013-09-06	2018-11-16	343
ERR329533	PRJEB1934	SAMEA2172849	ERX302512	mouse skin metagenome	unspecified	AMPLICON	5717	2013-09-06	2018-11-16	344
ERR329534	PRJEB1934	SAMEA2172850	ERX302513	mouse skin metagenome	unspecified	AMPLICON	2866	2013-09-06	2018-11-16	345
ERR329535	PRJEB1934	SAMEA2172851	ERX302514	mouse skin metagenome	unspecified	AMPLICON	3791	2013-09-06	2018-11-16	346
ERR329536	PRJEB1934	SAMEA2172852	ERX302515	mouse skin metagenome	unspecified	AMPLICON	3187	2013-09-06	2018-11-16	347
ERR329537	PRJEB1934	SAMEA2172853	ERX302516	mouse skin metagenome	unspecified	AMPLICON	2726	2013-09-06	2018-11-16	349
ERR329538	PRJEB1934	SAMEA2172854	ERX302517	mouse skin metagenome	unspecified	AMPLICON	3953	2013-09-06	2018-11-16	350
ERR329539	PRJEB1934	SAMEA2172855	ERX302518	mouse skin metagenome	unspecified	AMPLICON	3850	2013-09-06	2018-11-16	351
ERR329540	PRJEB1934	SAMEA2172856	ERX302519	mouse skin metagenome	unspecified	AMPLICON	2955	2013-09-06	2018-11-16	354
ERR329541	PRJEB1934	SAMEA2172857	ERX302520	mouse skin metagenome	unspecified	AMPLICON	4215	2013-09-06	2018-11-16	357
ERR329542	PRJEB1934	SAMEA2172858	ERX302521	mouse skin metagenome	unspecified	AMPLICON	3999	2013-09-06	2018-11-16	358
ERR329543	PRJEB1934	SAMEA2172859	ERX302522	mouse skin metagenome	unspecified	AMPLICON	5815	2013-09-06	2018-11-16	359
ERR329544	PRJEB1934	SAMEA2172860	ERX302523	mouse skin metagenome	unspecified	AMPLICON	3543	2013-09-06	2018-11-16	361
ERR329545	PRJEB1934	SAMEA2172861	ERX302524	mouse skin metagenome	unspecified	AMPLICON	7918	2013-09-06	2018-11-16	362
ERR329546	PRJEB1934	SAMEA2172862	ERX302525	mouse skin metagenome	unspecified	AMPLICON	6260	2013-09-06	2018-11-16	363
ERR329547	PRJEB1934	SAMEA2172863	ERX302526	mouse skin metagenome	unspecified	AMPLICON	5840	2013-09-06	2018-11-16	364
ERR329548	PRJEB1934	SAMEA2172864	ERX302527	mouse skin metagenome	unspecified	AMPLICON	6842	2013-09-06	2018-11-16	365
ERR329549	PRJEB1934	SAMEA2172865	ERX302528	mouse skin metagenome	unspecified	AMPLICON	7853	2013-09-06	2018-11-16	366
ERR329550	PRJEB1934	SAMEA2172866	ERX302529	mouse skin metagenome	unspecified	AMPLICON	6294	2013-09-06	2018-11-16	367
ERR329551	PRJEB1934	SAMEA2172867	ERX302530	mouse skin metagenome	unspecified	AMPLICON	7405	2013-09-06	2018-11-16	368
